Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,32.33149047908784,2025-09-03 21:00:00+00:00,308.986992,9.99000999000964,2025-09-08 21:00:00+00:00,312.809552,10.113599052255733,103.48545320347738,0.010358893865668085,Long,Closed,0
1,0,34.58615844341789,2025-09-22 21:00:00+00:00,291.83328,10.093392061140548,2025-10-07 21:00:00+00:00,281.67447999999996,9.742038194747341,-371.18929665088274,-0.036775475915563786,Long,Closed,1
2,0,32.71368299241877,2025-11-13 21:00:00+00:00,297.202048,9.722573582969627,2025-11-27 21:00:00+00:00,304.413336,9.95848137256866,-255.5888445545723,-0.02628818824290206,Short,Closed,2
3,0,31.320307035919782,2025-12-23 21:00:00+00:00,302.271624,9.467240071924607,2026-01-16 21:00:00+00:00,301.038976,9.428633158098886,-57.502787057235835,-0.006073870169169267,Long,Closed,3
4,0,30.88458806600107,2026-01-26 21:00:00+00:00,304.67606400000005,9.409794730210578,2026-02-03 21:00:00+00:00,304.103088,9.392098602478873,-1.1057656009835224,-0.00011751219157134332,Short,Closed,4
5,0,30.196655381806444,2026-03-02 21:00:00+00:00,311.580536,9.408690069270538,2026-03-04 21:00:00+00:00,314.931744,9.509885342359288,-120.11384850038131,-0.012766266889020167,Short,Closed,5
6,0,29.309622981750163,2026-03-23 21:00:00+00:00,316.916264,9.288696214624803,2026-03-27 21:00:00+00:00,314.38130399999994,9.214397492750983,55.7956281664441,0.006006830977914358,Short,Closed,6
7,0,29.638340887151145,2026-04-04 21:00:00+00:00,315.2820239999999,9.344436102901454,2026-04-06 21:00:00+00:00,317.615704,9.413602506264494,50.408364752362914,0.005394479045846643,Long,Closed,7
8,0,28.797292381067436,2026-04-21 21:00:00+00:00,326.23879999999997,9.394794109648583,2026-04-29 21:00:00+00:00,320.06584799999996,9.217029806050286,159.1524796825976,0.016940496813990402,Short,Closed,8
9,0,29.486179692060972,2026-05-10 21:00:00+00:00,324.00899999999996,9.55378759584346,2026-05-12 21:00:00+00:00,325.4894,9.597438936261112,24.50011388402416,0.0025644398766704267,Long,Closed,9
10,0,29.69471532327585,2026-05-27 21:00:00+00:00,322.55784,9.578263234088809,2026-06-02 21:00:00+00:00,323.111304,9.594698190012442,-2.7380055024186927,-0.00028585615528644475,Long,Closed,10
